Row #,Species,Count,Location,S/P,Date,LocID,SubID
2570,Common Scale-backed Antbird,1,Gareno Lodge,EC-N,06 Jun 2006,L1051380,S26162751
2571,Xingu Scale-backed Antbird,2,Cristalino Jungle Lodge,BR-MT,16 Sep 2009,L4057506,S27892883
2572,Black-spotted Bare-eye,2,Reserva Biológica Limoncocha,EC-U,14 Jun 2006,L1396083,S26162593
2573,Reddish-winged Bare-eye,2,Gareno Lodge,EC-N,09 Jun 2006,L1051380,S26162753
2574,Ocellated Antbird,1,Nuqui area,CO-CHO,21 Jul 2008,L6188186,S27904893
2575,Collared Crescentchest,,Chapada dos Guimarães -- Agua Fria Road,BR-MT,26 Jul 2012,L1465421,S27904889
2576,Olive-crowned Crescentchest,1,Rio Mizque Valley,BO-C,17 Aug 2013,L998867,S15100361
2577,Marañon Crescentchest,1,Bagua Chica (Valqui F7.1),PE-AMA,06 Jan 2010,L493593,S6591598
2578,Elegant Crescentchest,5,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6591605
2579,Black-crowned Antpitta,1,PN Braulio Carrillo--Quebrada González,CR-SJ,10 Feb 2011,L441815,S31113162
2580,Rufous-crowned Antpitta,2,Reserva Mangaloma,EC-P,25 Apr 2006,L600104,S26162806
2581,Black-cheeked Gnateater,2,PE Intervales,BR-SP,15 Nov 2015,L972187,S26217583
2582,Chestnut-belted Gnateater,2,Cristalino Jungle Lodge,BR-MT,05 Oct 2009,L4057506,S27892998
2583,Ash-throated Gnateater,1,Yasuni Biological Research Station,EC-D,07 Jan 2008,L685430,S26162747
2584,Rufous Gnateater,1,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
2585,Chestnut-crowned Gnateater,5,Santa Cecilia trail above Paquisha,EC-Z,08 Aug 2011,L2209137,S26142130
2586,Slaty Gnateater,3,Refugío Los Volcanes,BO-S,14 Aug 2013,L3401986,S15100368
2587,Undulated Antpitta,2,San Antonio de las Montañas,EC-T,14 May 2006,L4058208,S26224901
2588,Giant Antpitta,,Refugio Paz de las Aves (Angel Paz),EC-P,24 Nov 2010,L674753,S31264404
2589,Great Antpitta,1,PN Yacambú,VE-K,14 Jan 2007,L1437731,S26161660
2590,Variegated Antpitta,1,Cristalino Jungle Lodge,BR-MT,16 Sep 2009,L4057506,S27893041
2591,Moustached Antpitta,1,Refugio Paz de las Aves (Angel Paz),EC-P,01 May 2006,L674753,S26162769
2592,Scaled Antpitta,1,Tlanchinol--Senda Lontla,MX-HID,01 Jan 2006,L2397624,S26225684
2593,Plain-backed Antpitta,1,PN Henri Pittier--Rancho Grande 2,VE-D,19 Dec 2006,L721149,S26161650
2594,Ochre-striped Antpitta,1,Yasuni Biological Research Station,EC-D,08 Jan 2008,L685430,S26162592
2595,Chestnut-crowned Antpitta,5,Bellavista Cloud Forest Lodge,EC-P,15 Apr 2006,L468896,S26162809
2596,Watkins's Antpitta,27,Reserva Jorupe,EC-L,17 Dec 2007,L523899,S26162765
2597,Santa Marta Antpitta,1,RNA El Dorado--Lodge,CO-MAG,14 Jan 2014,L2141124,S27890102
2598,Stripe-headed Antpitta,3,PN Huascarán--Abra Portachuelo,PE-ANC,23 Jan 2010,L688976,S6591616
2599,Gray-naped Antpitta,2,PN Sierra Nevada--Camino al Pico Humboldt,VE-L,12 Jan 2007,L896606,S26161672
2600,Bicolored Antpitta,3,Reserva Ecológica Río Blanco,CO-CAL,19 Jul 2008,L2241379,S27890870
2601,Jocotoco Antpitta,3,Reserva Tapichalaca,EC-Z,08 Jan 2010,L483255,S6591602
2602,Chestnut-naped Antpitta,2,Reserva Tapichalaca,EC-Z,08 Jan 2010,L483255,S6591602
2603,Pale-billed Antpitta,2,Trocha Cresta de San Lorenzo,PE-AMA,17 Dec 2009,L1836581,S6591577
2604,White-throated Antpitta,1,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
2605,Yellow-breasted Antpitta,3,Refugio Paz de las Aves (Angel Paz),EC-P,01 May 2006,L674753,S26162769
2606,White-bellied Antpitta,1,Cascada de San Rafael--Entrance road and trail to waterfall,EC-N,28 Apr 2006,L577535,S26162772
2607,Rusty-tinged Antpitta,6,Trocha Cresta de San Lorenzo,PE-AMA,17 Dec 2009,L1836581,S6591577
2608,Bay Antpitta,2,Senda Paty,PE-HUC,09 Dec 2009,L846540,S6591562
2609,Rufous Antpitta,1,Papallacta--La Virgen y alrededores inmediatos (Pass and immediate vicinity),EC-N,29 Apr 2006,L1491931,S26224894
2610,Chestnut Antpitta,1,Senda Paty,PE-HUC,09 Dec 2009,L846540,S6591562
2611,Tawny Antpitta,4,Laguna Papallacta,EC-N,27 Apr 2006,L798753,S26162596
2612,Urrao Antpitta,2,RNA Colibri del Sol (Dusky Starfrontlet Reserve),CO-ANT,20 Jun 2011,L751363,S26147691
2613,Brown-banded Antpitta,2,Reserva Ecológica Río Blanco,CO-CAL,19 Jul 2008,L2241379,S27890870
2614,Rufous-faced Antpitta,7,Siberia Crossroads,BO-S,18 Aug 2013,L999930,S15100358
2615,Streak-chested Antpitta,3,Pipeline Road  (Camino del Oleoducto) General area,PA-3,24 Mar 2009,L454711,S6591690
2616,Spotted Antpitta,1,Vía Anacoco,VE-F,30 Dec 2006,L3172106,S26161661
2617,Alta Floresta Antpitta,1,Cristalino Jungle Lodge,BR-MT,16 Sep 2009,L4057506,S27893041
2618,Masked Antpitta,1,Riberalta--Hamburgo,BO-B,28 Aug 2013,L2337822,S15100316
2619,Thicket Antpitta,1,RN San Cipriano-Escalerete,CO-VAC,23 Jun 2010,L2711479,S6578615
2620,White-lored Antpitta,2,Reserva El Para,EC-N,14 Jan 2011,L820840,S27862415
2621,Amazonian Antpitta,1,Región Oceanía (Dept. Loreto),PE-MDD,30 Oct 2009,L492610,S27666844
2622,Speckle-breasted Antpitta,1,PN Itatiaia--Agulhas Negras Rd (1700-2400m),BR-RJ,21 Nov 2015,L787488,S25963307
2623,Thrush-like Antpitta,2,Gareno Lodge,EC-N,08 Jun 2006,L1051380,S26162752
2624,Tepui Antpitta,7,La Escalera,VE-F,03 Jan 2007,L1151002,S26161397
2625,Ochre-breasted Antpitta,1,Reserva Mangaloma,EC-P,08 May 2006,L600104,S26162761
2626,Peruvian Antpitta,2,Cabañas San Isidro,EC-N,25 Jul 2010,L489454,S27897463
2627,Ochre-fronted Antpitta,1,ACP Abra Patricia--Owlet Lodge,PE-AMA,18 Dec 2009,L1849237,S6591578
2628,Rusty-breasted Antpitta,1,Senda Paty,PE-HUC,09 Dec 2009,L846540,S6591562
2629,Slate-crowned Antpitta,1,Cordillera Guacamayos--Trail from parking area,EC-N,22 Jun 2006,L468859,S26162779
2630,Crescent-faced Antpitta,2,Cerro Acanama and road to radio towers,EC-L,20 Dec 2007,L2805359,S26162775
2631,Chestnut-throated Huet-huet,2,RN Altos de Lircay,CL-ML,02 Feb 2010,L1186273,S6591627
2632,Black-throated Huet-huet,1,Lago Huillinco,CL-LL,06 Feb 2010,L774593,S6591650
