Row #,Species,Count,Location,S/P,Date,LocID,SubID
2542,Bare-necked Umbrellabird,1,Reserva Forestal Fortuna,PA-4,21 Mar 2009,L454716,S4783636
2543,Blue Cotinga,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,24 Mar 2009,L454711,S4785287
2544,Plum-throated Cotinga,1,Upper Loreto Road (800-1400 m),EC-N,23 Nov 2008,L468856,S4346724
2545,Purple-breasted Cotinga,1,Senda Cerro Guacamaya,CO-VAU,09 Jun 2011,L1193326,S8408935
2546,Spangled Cotinga,1,Yasuni Biological Research Station,EC-D,08 Jan 2011,L685430,S7430521
2547,Chestnut-capped Piha,2,RNA Arrierito Antioqueño (Chestnut-capped Piha Reserve),CO-ANT,17 Jun 2011,L603931,S8440471
2548,Dusky Piha,1,Cordillera Guacamayos--Trail from parking area,EC-N,27 Nov 2008,L468859,S4346775
2549,Rufous Piha,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2550,Screaming Piha,4,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2551,Purple-throated Cotinga,1,Yasuni Biological Research Station,EC-D,09 Jan 2011,L685430,S7430522
2552,Pompadour Cotinga,3,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
2553,Bare-necked Fruitcrow,1,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
2554,Dwarf Tyrant-Manakin,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2555,Saffron-crested Tyrant-Manakin,2,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
2556,Sulphur-bellied Tyrant-Manakin,3,Quebrada Upaquihua,PE-SAM,01 Jan 2010,L863240,S6083584
2557,Lance-tailed Manakin,3,Parque Natural Metropolitano,PA-8,17 Mar 2009,L454708,S4765822
2558,Long-tailed Manakin,3,Above Mapastepec,MX-CHP,04 Jan 2013,L1865713,S12513210
2559,Blue-backed Manakin,3,Yasuni Biological Research Station,EC-D,07 Jan 2011,L685430,S7430520
2560,Yungas Manakin,2,Refugío Los Volcanes,BO-S,15 Aug 2013,L3401986,S14944068
